sample_index,run_number,timestamp_local_iso8601,sim_time_s,state_vehicle_speed_kmh,state_beta_3dof_deg,state_yaw_rate_3dof_degps,state_y_3dof_m,state_steer_delta_deg,state_x_m,state_y_m,state_xt_m,state_yt_m,state_beta_trucksim_deg,state_yaw_rate_trucksim_degps,case_id,case_name
43,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.031,39.9781253516134,-0.0951114720686057,-0.715622223080701,-0.00033261848858866,-1.87657521108794,-0.608208293888221,-0.000344133724207653,0.450023883841376,0,-0.0876686614210463,-1.07773946801293,MV-002,sine_steer_40kmh
44,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.032,39.9775308390043,-0.0976499846220043,-0.731747146667873,-0.000353937039871507,-1.87570452443323,-0.597099772067777,-0.000367145936531047,0.461133845946203,0,-0.0908013220085762,-1.12128610622375,MV-002,sine_steer_40kmh
45,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.033,39.976937620856,-0.10015852795183,-0.747841790991136,-0.000375885886153769,-1.87483087595977,-0.585991361264541,-0.000391062388735476,0.472243689104701,0,-0.0939217114585719,-1.16518342577588,MV-002,sine_steer_40kmh
46,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.034,39.9763456452322,-0.102637260285677,-0.763909775119366,-0.000398462327474435,-1.87395426704707,-0.574883062725818,-0.000415889673102532,0.483353408165891,0,-0.097028374177937,-1.20944368889196,MV-002,sine_steer_40kmh
47,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.035,39.975754868472,-0.105086337283873,-0.779954077447536,-0.00042166368934864,-1.87307469907934,-0.563774877646722,-0.000441634564716327,0.49446299817543,0,-0.1001187583018,-1.25403969154476,MV-002,sine_steer_40kmh
48,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.036,39.9751652538212,-0.10750591246278,-0.795977139333339,-0.000445487322889538,-1.87219217344546,-0.552666807152947,-0.000468302766738798,0.505572454399324,0,-0.10319040683417,-1.29895447599536,MV-002,sine_steer_40kmh
49,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.037,39.9745767702906,-0.109896137552549,-0.811980952032228,-0.000469930604900985,-1.87130669153898,-0.541558852306243,-0.000495899756280346,0.516681772319154,0,-0.106240932631898,-1.34416681141671,MV-002,sine_steer_40kmh
50,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.038,39.9739893917022,-0.112257162799505,-0.827967129620851,-0.000494990937946294,-1.87041825475811,-0.530451014106016,-0.000524430473164789,0.527790947630258,0,-0.109268029857439,-1.38965609119084,MV-002,sine_steer_40kmh
51,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.039,39.9734030958939,-0.114589137221722,-0.843936970165443,-0.000520665750397404,-1.86952686450572,-0.519343293491681,-0.000553899418704946,0.53889997623823,0,-0.112269476081964,-1.43540220870414,MV-002,sine_steer_40kmh
52,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.04,39.9728178640544,-0.116892208825018,-0.859891507028964,-0.000546952496468078,-1.86863252218937,-0.508235691344609,-0.000584310660969162,0.550008854255138,0,-0.115243134606488,-1.48138574395526,MV-002,sine_steer_40kmh
53,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.041,39.9722336801693,-0.119166524785463,-0.875831551905826,-0.000573848656234039,-1.86773522922126,-0.497128208490172,-0.000615667854590016,0.561117577995292,0,-0.118186956360361,-1.52758813329286,MV-002,sine_steer_40kmh
54,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.042,39.9716505305581,-0.121412231603551,-0.891757730917353,-0.000601351735642493,-1.86683498701824,-0.486020845699659,-0.000647974263453374,0.57222614397098,0,-0.121098981065839,-1.57399167334582,MV-002,sine_steer_40kmh
55,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.043,39.9710684034876,-0.123629475234368,-0.907670514886189,-0.000629459266513008,-1.86593179700186,-0.474913603692091,-0.000681232780825224,0.583334548888329,0,-0.123977337944361,-1.62057951028022,MV-002,sine_steer_40kmh
56,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.044,39.9704872888494,-0.125818401197416,-0.923570244728223,-0.000658168806531378,-1.86502566059827,-0.463806483135908,-0.000715445949413897,0.594442789643404,0,-0.126820245951145,-1.66733560348707,MV-002,sine_steer_40kmh
57,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.045,39.9699071778908,-0.127979154669194,-0.939457152749042,-0.000687477939237779,-1.86411657923831,-0.452699484650526,-0.000750615980375171,0.605550863318643,0,-0.129626013582808,-1.71424468213734,MV-002,sine_steer_40kmh
58,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.046,39.96932806299,-0.130111880561127,-0.955331380505307,-0.000717384274010296,-1.86320455435746,-0.441592608807765,-0.000786744771473649,0.616658767179642,0,-0.132393038293006,-1.76129220177438,MV-002,sine_steer_40kmh
59,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.047,39.9687499374684,-0.132216723585065,-0.971192993785057,-0.000747885446044685,-1.86228958739584,-0.430485856133154,-0.000823833924480869,0.627766498672309,0,-0.135119805547617,-1.80846430380667,MV-002,sine_steer_40kmh
60,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.048,39.968172795434,-0.134293828308194,-0.987041995171514,-0.000778979116331066,-1.86137167979824,-0.419379227107128,-0.000861884761891291,0.63887405542036,0,-0.137804887552472,-1.85574777919857,MV-002,sine_steer_40kmh
61,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.049,39.967596631651,-0.136343339198946,-1.0028783345804,-0.00081066297162809,-1.86045083301405,-0.408272722166118,-0.000900898343038409,0.649981435223129,0,-0.140446941686664,-1.90313003625282,MV-002,sine_steer_40kmh
62,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.05,39.9670214414303,-0.138365400665226,-1.01870191809745,-0.00084293472443504,-1.85952704849734,-0.397166341703567,-0.000940875479666255,0.661088636053634,0,-0.143044708674842,-1.95059907185686,MV-002,sine_steer_40kmh
63,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.051,39.9664472205386,-0.140360157086088,-1.03451261539052,-0.000875792112962193,-1.85860032770681,-0.386060086070866,-0.000981816750992573,0.672195656056852,0,-0.145597010531898,-1.99814344537821,MV-002,sine_steer_40kmh
64,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.052,39.9658739651225,-0.142327752837803,-1.05031026592633,-0.000909232901099722,-1.85767067210579,-0.374953955578244,-0.00102372251828297,0.683302493548147,0,-0.14810274831297,-2.04575225441201,MV-002,sine_steer_40kmh
65,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.053,39.965301671645,-0.144268332315139,-1.06609468418468,-0.000943254878385332,-1.85673808316225,-0.363847950495608,-0.00106659293894277,0.694409147011787,0,-0.150560899700756,-2.09341511170732,MV-002,sine_steer_40kmh
66,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.054,39.9647303368326,-0.146182039948513,-1.08186566403194,-0.000977855859970795,-1.85580256234877,-0.352742071053363,-0.00111042798012521,0.705515615099508,0,-0.152970516460806,-2.14112212275791,MV-002,sine_steer_40kmh
67,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.055,39.9641599576309,-0.148069020217619,-1.09762298238952,-0.00101303368658749,-1.8548641111426,-0.341636317443212,-0.00115522743184967,0.716621896629057,0,-0.155330721793787,-2.1888638637017,MV-002,sine_steer_40kmh
68,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.056,39.9635905311681,-0.149929417662005,-1.11336640231125,-0.00104878622451099,-1.85392273102558,-0.330530689818947,-0.00120099091962217,0.727727990582681,0,-0.157640707611762,-2.23663135931255,MV-002,sine_steer_40kmh
69,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.057,39.9630220547242,-0.151763376889027,-1.12909567556484,-0.00108511136552486,-1.8529784234842,-0.319425188297249,-0.00124771791654989,0.738833896105528,0,-0.159899731763487,-2.28441606098099,MV-002,sine_steer_40kmh
70,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.058,39.962454525705,-0.153571042579536,-1.14481054479771,-0.0011220070268835,-1.85203119000956,-0.308319812958494,-0.00129540775494312,0.749939612503902,0,-0.162107115231478,-2.33220982466649,MV-002,sine_steer_40kmh
71,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.059,39.9618879416211,-0.15535255949159,-1.16051074535415,-0.00115947115127423,-1.85108103209737,-0.297214563847575,-0.0013440596374002,0.761045139243377,0,-0.164262239321445,-2.38000488886255,MV-002,sine_steer_40kmh
72,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.06,39.9613223000699,-0.15710807246247,-1.17619600680014,-0.00119750170677853,-1.85012795124799,-0.286109440974748,-0.0013936726473733,0.772150475946716,0,-0.166364542862459,-2.42779385265699,MV-002,sine_steer_40kmh
73,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.061,39.9607575987206,-0.1588377264092,-1.19186605420302,-0.00123609668683242,-1.84917194896637,-0.275004444316497,-0.00144424575921578,0.783255622391607,0,-0.168413519434124,-2.47556965398997,MV-002,sine_steer_40kmh
74,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.062,39.9601938353022,-0.160541666327776,-1.20752060920554,-0.00127525411018594,-1.84821302676208,-0.263899573816427,-0.00149577784771433,0.794360578508182,0,-0.170408714634977,-2.52332554822274,MV-002,sine_steer_40kmh
75,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.063,39.9596310075925,-0.16222003729126,-1.22315939092756,-0.0013149720208618,-1.84725118614929,-0.252794829386188,-0.00154826769711176,0.805465344376333,0,-0.172349723404448,-2.57105508713037,MV-002,sine_steer_40kmh
76,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.064,39.9590691134102,-0.163872984446883,-1.2387821167231,-0.00135524848811301,-1.8462864286468,-0.241690210906419,-0.00160171400962823,0.816569920222801,0,-0.174236187408893,-2.61875209842482,MV-002,sine_steer_40kmh
77,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.065,39.9585081506072,-0.165500653012268,-1.25438850281609,-0.00139608160637966,-1.84531875577799,-0.230585718227727,-0.0016561154134912,0.827674306418062,0,-0.17606779250061,-2.66641066590606,MV-002,sine_steer_40kmh
78,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.066,39.9579481170631,-0.167103188270899,-1.26997826483449,-0.00143746949524457,-1.84434816907087,-0.219481351171685,-0.00171147047048564,0.83877850347299,0,-0.17784426625719,-2.71402511032567,MV-002,sine_steer_40kmh
79,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.067,39.9573890106797,-0.168680735566902,-1.28555111825902,-0.001479410299388,-1.84337467005804,-0.208377109531863,-0.00176777768303802,0.849882512035329,0,-0.1795653756072,-2.76158997103478,MV-002,sine_steer_40kmh
80,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.068,39.9568308293772,-0.17023344029923,-1.3011067788003,-0.00152190218854123,-1.84239826027668,-0.197272993074872,-0.00182503550084854,0.860986332885956,0,-0.181230924546935,-2.80909998847501,MV-002,sine_steer_40kmh
81,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.069,39.956273571091,-0.171761447915326,-1.31664496271601,-0.00156494335743911,-1.84141894126861,-0.186169001541443,-0.00188324232708743,0.872089966934968,0,-0.182840751951851,-2.85655008755761,MV-002,sine_steer_40kmh
82,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.07,39.9557172337682,-0.173264903904312,-1.33216538707756,-0.00160853202577132,-1.84043671458019,-0.175065134647512,-0.00194239652417177,0.88319341521759,0,-0.184394729485278,-2.9039353619648,MV-002,sine_steer_40kmh
83,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.071,39.9551618153658,-0.174743953789766,-1.3476677699945,-0.00165266643813261,-1.83945158176241,-0.163961392085326,-0.00200249641914016,0.894296678889918,0,-0.185892759606108,-2.95125105939586,MV-002,sine_steer_40kmh
84,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.072,39.9546073138487,-0.176198743122128,-1.36315183080344,-0.00169734486397171,-1.83846354437085,-0.152857773524572,-0.00206354030864312,0.905399759224515,0,-0.18733477367634,-2.99849256776992,MV-002,sine_steer_40kmh
85,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.073,39.9540537271878,-0.177629417470785,-1.37861729022714,-0.00174256559753906,-1.83747260396564,-0.141754278613501,-0.00212552646356715,0.916502657605868,0,-0.188720730168693,-3.04565540238998,MV-002,sine_steer_40kmh
86,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.074,39.953501053359,-0.179036122415865,-1.39406387050848,-0.00178832695783323,-1.83647876211154,-0.13065090698008,-0.00218845313331118,0.92760537552572,0,-0.190050612973799,-3.09273519406302,MV-002,sine_steer_40kmh
87,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.075,39.9529492903418,-0.180419003539774,-1.4094912955235,-0.00183462728854607,-1.83548202037785,-0.119547658233137,-0.00225231854973365,0.93870791457829,0,-0.191324429806033,-3.13972767816528,MV-002,sine_steer_40kmh
88,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.076,39.9523984361186,-0.181778206418509,-1.42489929087666,-0.00188146495800654,-1.83448238033848,-0.10844453196352,-0.00231712093078896,0.949810276455393,0,-0.192542210706471,-3.18662868463572,MV-002,sine_steer_40kmh
89,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.077,39.9518484886742,-0.183113876612771,-1.44028758398121,-0.00192883835912312,-1.83347984357191,-0.0973415277452565,-0.00238285848387154,0.960912462941476,0,-0.193704006641136,-3.23343412887464,MV-002,sine_steer_40kmh
90,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.078,39.9512994459947,-0.184426159658905,-1.45565590412708,-0.00197674590932496,-1.83247441166117,-0.0862386451367101,-0.0024495294088859,0.972014475908579,0,-0.1948098881923,-3.28014000352085,MV-002,sine_steer_40kmh
