sample_index,run_number,timestamp_local_iso8601,sim_time_s,state_vehicle_speed_kmh,state_beta_trucksim_deg,state_yaw_rate_trucksim_degps,state_x_m,state_y_m,state_xt_m,state_yt_m,state_steer_delta_deg,case_id,case_name
2700,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.699,38.8551585208484,-0.267812025313121,14.5967236987505,28.0954155073585,3.33597563702833,29.0701052283294,0,3,MV-001,step_steer_30kmh
2701,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.7,38.8546554634067,-0.267781372972182,14.5965637447449,28.1053652246409,3.34015807063635,29.0799499370731,0,3,MV-001,step_steer_30kmh
2702,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.701,38.8541524137902,-0.267750723647328,14.5964036665855,28.1153137450319,3.34434299010774,29.089793386853,0,3,MV-001,step_steer_30kmh
2703,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.702,38.8536493721556,-0.267720079832133,14.5962434471162,28.1252610679243,3.34853039507672,29.0996355770637,0,3,MV-001,step_steer_30kmh
2704,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.703,38.8531463386574,-0.267689443984148,14.5960830696387,28.1352071927114,3.35272028517683,29.1094765071002,0,3,MV-001,step_steer_30kmh
2705,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.704,38.8526433134478,-0.267658818517741,14.5959225179482,28.1451521187867,3.35691266004091,29.1193161763581,0,3,MV-001,step_steer_30kmh
2706,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.705,38.8521402966766,-0.267628205797172,14.5957617763683,28.155095845544,3.36110751930114,29.1291545842331,0,3,MV-001,step_steer_30kmh
2707,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.706,38.85163728849,-0.267597608129746,14.5956008297827,28.1650383723775,3.36530486258905,29.1389917301218,0,3,MV-001,step_steer_30kmh
2708,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.707,38.8511342890313,-0.26756702775933,14.5954396636669,28.1749796986817,3.36950468953549,29.1488276134208,0,3,MV-001,step_steer_30kmh
2709,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.708,38.8506312984395,-0.267536466860001,14.595278264117,28.1849198238513,3.37370699977067,29.1586622335276,0,3,MV-001,step_steer_30kmh
2710,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.709,38.8501283168498,-0.267505927530034,14.5951166178773,28.1948587472815,3.37791179292419,29.1684955898397,0,3,MV-001,step_steer_30kmh
2711,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.71,38.8496253443928,-0.267475411786111,14.5949547123658,28.2047964683676,3.382119068625,29.1783276817554,0,3,MV-001,step_steer_30kmh
2712,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.711,38.8491223811944,-0.26744492155794,14.5947925356979,28.2147329865053,3.38632882650145,29.1881585086735,0,3,MV-001,step_steer_30kmh
2713,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.712,38.8486194273752,-0.267414458683019,14.5946300767079,28.2246683010907,3.39054106618132,29.1979880699931,0,3,MV-001,step_steer_30kmh
2714,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.713,38.8481164830506,-0.267384024901892,14.594467324969,28.2346024115199,3.3947557872918,29.2078163651139,0,3,MV-001,step_steer_30kmh
2715,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.714,38.8476135483306,-0.26735362185362,14.5943042708108,28.2445353171896,3.39897298945951,29.2176433934361,0,3,MV-001,step_steer_30kmh
2716,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.715,38.8471106233189,-0.267323251071723,14.5941409053346,28.2544670174965,3.40319267231055,29.2274691543603,0,3,MV-001,step_steer_30kmh
2717,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.716,38.8466077081135,-0.267292913980415,14.5939772204274,28.2643975118378,3.4074148354705,29.2372936472877,0,3,MV-001,step_steer_30kmh
2718,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.717,38.8461048028059,-0.267262611891138,14.5938132087727,28.2743267996109,3.41163947856442,29.24711687162,0,3,MV-001,step_steer_30kmh
2719,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.718,38.8456019074814,-0.267232345999762,14.5936488638603,28.2842548802132,3.41586660121692,29.2569388267592,0,3,MV-001,step_steer_30kmh
2720,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.719,38.8450990222185,-0.267202117383784,14.5934841799931,28.2941817530428,3.42009620305214,29.266759512108,0,3,MV-001,step_steer_30kmh
2721,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.72,38.8445961470889,-0.267171927000244,14.5933191522918,28.3041074174977,3.42432828369376,29.2765789270697,0,3,MV-001,step_steer_30kmh
2722,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.721,38.8440932821575,-0.267141775683884,14.5931537766987,28.3140318729762,3.42856284276509,29.2863970710477,0,3,MV-001,step_steer_30kmh
2723,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.722,38.8435904274824,-0.267111664145764,14.5929880499776,28.3239551188768,3.43279987988902,29.2962139434462,0,3,MV-001,step_steer_30kmh
2724,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.723,38.8430875831143,-0.26708159297223,14.5928219697126,28.3338771545984,3.43703939468808,29.3060295436698,0,3,MV-001,step_steer_30kmh
2725,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.724,38.8425847490971,-0.267051562624383,14.5926555343052,28.34379797954,3.44128138678448,29.3158438711235,0,3,MV-001,step_steer_30kmh
2726,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.725,38.8420819254674,-0.267021573437872,14.5924887429684,28.3537175931005,3.44552585580007,29.325656925213,0,3,MV-001,step_steer_30kmh
2727,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.726,38.8415791122548,-0.266991625623052,14.5923215957194,28.3636359946795,3.44977280135644,29.3354687053442,0,3,MV-001,step_steer_30kmh
2728,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.727,38.8410763094815,-0.266961719265735,14.5921540933704,28.3735531836765,3.4540222230749,29.3452792109236,0,3,MV-001,step_steer_30kmh
2729,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.728,38.8405735171628,-0.266931854328082,14.5919862375172,28.383469159491,3.45827412057652,29.3550884413581,0,3,MV-001,step_steer_30kmh
2730,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.729,38.8400707353068,-0.266902030650065,14.5918180305257,28.3933839215231,3.46252849348213,29.3648963960551,0,3,MV-001,step_steer_30kmh
